,confirmed_daily,confirmed_cumulative,deaths_daily,deaths_cumulative,recovered_daily,recovered_cumulative,prevalence_daily,incidence_rate,mortality,cfr_daily,cfr_cumulative
2/23/20,382.0,78990,11.0,2473,505.0,23397,53120,0.0,0.0,2.88,3.13
2/24/20,568.0,79558,160.0,2633,1832.0,25229,51696,0.01,0.0,28.17,3.31
2/25/20,854.0,80412,80.0,2713,2678.0,27907,49792,0.01,0.0,9.37,3.37
2/26/20,972.0,81384,61.0,2774,2481.0,30388,48222,0.01,0.0,6.28,3.41
2/27/20,1344.0,82728,43.0,2817,2894.0,33282,46629,0.02,0.0,3.2,3.41
2/28/20,1424.0,84152,59.0,2876,3432.0,36714,44562,0.02,0.0,4.14,3.42
2/29/20,1871.0,86023,70.0,2946,3071.0,39785,43292,0.02,0.0,3.74,3.42
3/1/20,2379.0,88402,54.0,3000,2936.0,42721,42681,0.03,0.0,2.27,3.39
3/2/20,1980.0,90382,90.0,3090,2884.0,45605,41687,0.03,0.0,4.55,3.42
3/3/20,2612.0,92994,74.0,3164,2622.0,48227,41603,0.03,0.0,2.83,3.4
