,confirmed_daily_ehma,deaths_daily_ehma,recovered_daily_ehma,prevalence_daily_ehma,incidence_rate_ehma,mortality_ehma,cfr_daily_ehma,cfr_cumulative_ehma
1/7/21,674758.4757376557,12425.332268205324,327855.084273917,35249339.70070679,8.567944644146765,0.15830951420206302,1.8363708042042488,2.2673263189466715
1/8/21,680319.0850821577,12646.373208695932,328279.80288173317,35625367.68407814,8.638489910511577,0.1611294726636751,1.852540459415222,2.2641064787237717
1/9/21,683543.74036913,12829.206239855463,328303.752830785,36000971.024288066,8.67937566461858,0.16348981103953672,1.8702995469805752,2.261115406150265
1/10/21,682059.0099061022,12883.65761180794,328023.3164854022,36372194.825008325,8.660496989711712,0.16430384761422737,1.8823561063304044,2.2581145397832114
1/11/21,677165.9751747268,12863.239815217443,327614.3252423131,36736126.30335278,8.59840174373755,0.16404830649250296,1.8937901801478656,2.2551777482345035
1/12/21,671853.3191714432,12915.758611276491,329111.9518838928,37090631.37295028,8.53103964307633,0.16472206774349768,1.9193804362902547,2.2525893905710888
1/13/21,668606.3190978031,13065.34932054771,330097.67379352293,37438431.01771712,8.48997036994566,0.16671828993970816,1.9523339096578398,2.2502987267382
1/14/21,666404.1833361284,13266.607058261174,331616.72858092847,37780203.22230758,8.462073008887474,0.16933011029794498,1.9897481707495286,2.2482642730137132
1/15/21,664839.5095746912,13469.134123629268,333830.3717476792,38116087.371248454,8.442366602388303,0.17182716213152596,2.0253040484646685,2.246451811168471
1/16/21,661699.6476415248,13632.537845268236,334925.45752803446,38445845.25900816,8.40252703070394,0.17371601763565309,2.0613521195952735,2.244832864862316
1/17/21,654859.6001996134,13652.3117770612,335104.4267700371,38766998.97014318,8.315774956415597,0.1737330661537442,2.086985898877288,2.243383529339901
1/18/21,646128.5041994844,13606.5783165574,334738.9812383725,39078414.67417148,8.204856806373071,0.17294958962092144,2.109654977320299,2.2420835687034733
1/19/21,638198.4866963087,13665.272918800381,334368.2722209246,39380927.765141256,8.104177521119192,0.17352631476514643,2.148395442878146,2.2411514070645504
1/20/21,631934.1005711332,13781.7603958858,334267.3115639445,39675997.28235855,8.024610882957594,0.17477773132200528,2.1903049735313407,2.240491058813335
1/21/21,627282.3377113339,13925.568707890236,333760.1488646836,39965724.3166049,7.96550366074235,0.1764579661208727,2.2305511678046885,2.2400309152286115
1/22/21,623219.7250601159,14066.56322371217,334130.8844024607,40249922.21840321,7.913909676795099,0.1781542016074879,2.268483212967199,2.2399533052241014
1/23/21,617906.1765687325,14143.919046626272,334784.22443411616,40527211.033046156,7.846480465158941,0.17911425501067976,2.301592341470842,2.2401373767032826
1/24/21,609080.9498824269,14088.168263482728,334146.56087370793,40795584.67638955,7.734530117035266,0.1783731434873068,2.326638201565485,2.2404948681205306
1/25/21,599171.7086837633,13959.787912664167,332263.7944837749,41055350.680761434,7.608881210426538,0.1767296011248687,2.343259525530948,2.2409617366988814
1/26/21,589288.8290979341,13893.726538335051,331407.34917097306,41305513.63265118,7.48348774550575,0.17592592586163439,2.374507167679231,2.241491900724878
1/27/21,581066.1005568372,13895.171220988583,330788.7960801816,41547488.85305573,7.379135713160523,0.17594739895741426,2.410947139132622,2.2422882562483677
1/28/21,572904.5459971201,13873.333674668585,329501.27996866277,41782084.62459773,7.275509478109465,0.17558611989110226,2.443456021981964,2.2432466643555617
1/29/21,566502.5572159161,13936.458253062456,327490.3131995201,42011748.69664405,7.1941452961545815,0.17638750010940304,2.4833701188712256,2.2442925648065715
1/30/21,559059.004532858,13930.28025712687,325348.0700333495,42235685.09723952,7.099652817226095,0.17630994267535646,2.5160606249685924,2.245608938096082
1/31/21,549111.808891359,13780.844288684231,322763.59261654055,42452016.44720644,6.973250562724844,0.1744587030289238,2.5310534801366695,2.247078015910821
2/1/21,537424.2210178602,13579.85208568877,318888.4177328891,42660381.53745928,6.82485174267542,0.17191762761929885,2.5478125318668883,2.248616199983844
2/2/21,526417.7829536077,13470.427472478572,317498.5917958461,42858918.05040357,6.685042160753235,0.17061767847328355,2.5844673106033373,2.2501650738474512
2/3/21,516915.33746819093,13405.20728659826,315418.6850126889,43049806.15165327,6.564261385026824,0.1699557651689284,2.6226957234096306,2.251920394509528
2/4/21,508736.35585437913,13371.85842576773,313078.760494464,43234624.89256128,6.4604318857934775,0.16974286567513083,2.6606207040791103,2.2537745816846777
